0ad a22-3
kross 5.40.0-1
kross-interpreters 17.08.3-1
kruler 17.08.3-1
krunner 5.40.0-1
kscreen 5.11.4-1
kscreenlocker 5.11.4-1
kservice 5.40.0-1
kshisen 17.08.3-1
kshutdown 4.2-1
ksnakeduel 17.08.3-1
kspaceduel 17.08.3-1
ksquares 17.08.3-1
ksshaskpass 5.11.4-1
kstars 1:2.8.8-1
ksudoku 17.08.3-1
ksuperkey 0.4-1
ksysguard 5.11.4-1
ksystemlog 17.08.3-1
kteatime 17.08.3-1
ktexteditor 5.40.0-1
ktextwidgets 5.40.0-1
ktimer 17.08.3-1
ktouch 17.08.3-1
ktuberling 17.08.3-1
kturtle 17.08.3-1
kubrick 17.08.3-1
kuiserver 5.11.4-1
kunitconversion 5.40.0-1
kupfer-git v319.r4.g2b306a25-1
kvantum-qt5 0.10.5-1
kvantum-theme-arc 20171109-1
kvkbd 0.7.2-2
kwakd 0.5-5
kwallet 5.40.0-1
kwallet-pam 5.11.4-1
kwalletmanager 17.08.3-1
kwayland 5.40.0-1
kwayland-integration 5.11.4-1
kwidgetsaddons 5.40.0-1
kwin 5.11.4-1
kwin-scripts-tiling 2.0.0-1
kwindowsystem 5.40.0-1
kwordquiz 17.08.3-1
kwrite 17.08.3-1
kwrited 5.11.4-1
kxmlgui 5.40.0-1
kxmlrpcclient 5.40.0-1
ladspa 1.13-6
lalcal 1.0-2
lame 3.100-1
languagetool 3.9-1
lapack 3.8.0-1
lazarus 1.6.4-1
lcms 1.19-5
lcms2 2.8-2
ldb 1.3.0-1
ldns 1.7.0-4
leafpad 0.8.18.1-7
lemonbar-xft 268.043ad47-1
lemonpanel 0.26.r187.50b21ea-1
less 487-1
lib32-acl 2.2.52-2
lib32-alsa-lib 1.1.5-1
lib32-alsa-plugins 1.1.4-1
lib32-atk 2.26.1-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-cairo 1.15.8-1
lib32-curl 7.57.0-1
lib32-dbus 1.12.2-1
lib32-e2fsprogs 1.43.7-1
lib32-expat 2.2.2-1
lib32-flac 1.3.2-1
lib32-fontconfig 2.12.6+5+g665584a-1
lib32-freetype2 2.8.1-1
lib32-gcc-libs 7.2.0-3
lib32-gdk-pixbuf2 2.36.6-1
lib32-gettext 0.19.8.1-1
lib32-glew 2.1.0-1
lib32-glib2 2.54.2-2
lib32-glibc 2.26-2
lib32-glu 9.0.0-3
lib32-gmp 6.1.2-1
