0ad a22-3
python-xdg 0.25-4
python-xlib 0.20-1
python-xlrd 1.1.0-1
python-yaml 3.12-3
python-yapsy 1.11.223-5
python-zope-interface 4.4.3-1
python2 2.7.14-1
python2-appdirs 1.4.3-1
python2-apsw 3.15.2-1
python2-arrow 0.10.0-1
python2-asn1crypto 0.23.0-1
python2-attrs 17.3.0-1
python2-automat 0.6.0-1
python2-axolotl 0.1.39-2
python2-axolotl-curve25519 0.1-2
python2-backports 1.0-1
python2-beautifulsoup4 4.6.0-1
python2-cairo 1.15.4-1
python2-cairocffi 0.8.0-2
python2-cffi 1.11.2-1
python2-chardet 3.0.4-1
python2-click 6.7-1
python2-click-log 0.2.1-1
python2-click-threading 0.4.4-1
python2-configobj 5.0.6-3
python2-configparser 3.5.0-1
python2-constantly 15.1.0-2
python2-crypto 2.6.1-5
python2-cryptography 2.1.4-1
python2-cssselect 1.0.1-1
python2-cssutils 1.0.2-1
python2-dateutil 2.6.1-1
python2-dbus 1.2.4-2
python2-dill 0.2.7.1-1
python2-dirspec 13.10-1
python2-distutils-extra 2.39-2
python2-dnspython 1.15.0-2
python2-dukpy 0.3-2
python2-enum34 1.1.6-1
python2-eyed3 1:0.8-1
python2-feedparser 5.2.1-2
python2-flake8 1:3.5.0-1
python2-futures 3.1.1-1
python2-gconf 2.28.1-10
python2-gdata 2.0.18-2
python2-gflags 3.1.2-1
python2-gobject 3.26.1-1
python2-gobject2 2.28.6-13
python2-google-api-python-client 1.6.4-1
python2-html5-parser 0.4.4-1
python2-html5lib 0.999999999-2
python2-httplib2 0.10.3-1
python2-hyperlink 17.3.1-1
python2-i3-py 0.6.5-4
python2-idna 2.6-1
python2-incremental 17.5.0-1
python2-ipaddress 1.0.18-1
python2-keybinder2 0.3.1-1
python2-kivy 1.10.0-1
python2-levenshtein 0.12.0-4
python2-lxml 4.1.1-1
python2-m2crypto 0.27.0-1
python2-mccabe 0.6.1-1
python2-mechanize 1:0.3.5-1
python2-msgpack 0.4.8-2
python2-netifaces 0.10.6-1
python2-nose 1.3.7-3
python2-notify 0.1.1-13
python2-numpy 1.13.3-1
python2-oauth2client 4.1.2-1
python2-oauth2client1412 1.4.12-3
python2-olefile 0.44-1
python2-opengl 3.1.0-3
python2-packaging 16.8-2
python2-paste 2.0.3-2
python2-pathlib 1.0.1-3
python2-pillow 4.3.0-1
python2-ply 3.10-1
python2-protobuf 3.4.1-1
python2-psutil 5.4.1-1
python2-pyasn1 0.4.2-1
python2-pyasn1-modules 0.2.1-1
python2-pybluez 0.22-2
python2-pycodestyle 2.3.1-1
python2-pycparser 2.18-1
python2-pycurl 7.43.0-3
python2-pyflakes 1.6.0-1
python2-pygame 1.9.3-1
python2-pygments 2.2.0-1
python2-pyicu 1.9.8-2
python2-pyinotify 0.9.6-3
python2-pykf5 0-1
python2-pyopenssl 17.5.0-1
python2-pyparsing 2.2.0-1
python2-pyqt4 4.12.1-1
python2-pyqt5 5.9.2-1
python2-pysensors 0.0.3-1
python2-pyside 1.2.4-6
python2-pysqlcipher 2.6.7-1
python2-pysqlite 2.8.3-1
python2-regex 2017.11.09-1
python2-repoze.lru 0.7-1
python2-requests 2.18.4-1
python2-routes 2.4.1-1
python2-rsa 3.4.2-2
python2-rsvg 2.32.0-17
python2-setproctitle 1.1.10-2
python2-setuptools 1:38.2.3-1
python2-shiboken 1.2.4-3
python2-simplejson 3.13.2-1
python2-sip 4.19.6-1
python2-six 1.11.0-1
python2-sqlalchemy 1.1.15-1
python2-trollius 2.1-2
python2-twisted 17.9.0-1
python2-typing 3.6.1-1
python2-u1db 0.1.4-1
python2-unrardll 0.1.3-3
python2-uritemplate 3.0.0-2
python2-urllib3 1.22-1
python2-urwid 1.3.1-3
python2-vobject 0.9.5-1
python2-webencodings 0.5.1-1
python2-websocket-client 0.44.0-1
python2-wnck 2.32.0-17
python2-xcffib 0.5.1-1
python2-xdg 0.25-4
python2-xlib 0.20-1
python2-yapsy 1.11.223-5
python2-zope-interface 4.4.3-1
python3-aur 2017.7-1
python3-colorsysplus 2017.11.5-1
python3-memoizedb 2017.3.30-1
python3-xcgf 2017.3-1
python3-xcpf 2017.11.1-1
qalculate-gtk-nognome 0.9.12-1
qbs 1.9.1-1
qca-qt4 2.1.3-4
qca-qt5 2.1.3-4
qdirstat 1.4-2
qgpgme 1.9.0-3
qhull 2015.2-2
qjson 0.9.0-1
qpdf 7.0.0-1
qpdfview 0.4.17beta1-4.1
qqc2-desktop-style 5.40.0-2
qrencode 4.0.0-1
qscintilla-qt4 2.10.2-1
qscintilla-qt5 2.10.2-1
qt-at-spi 0.3.1-4
qt-recordmydesktop 0.3.8-7
qt4 4.8.7-23
qt4pas 2.5-8
qt5-3d 5.9.3-1
qt5-base 5.9.3-1
qt5-canvas3d 5.9.3-1
qt5-charts 5.9.3-1
qt5-connectivity 5.9.3-1
qt5-datavis3d 5.9.3-1
qt5-declarative 5.9.3-1
qt5-doc 5.9.3-1
qt5-examples 5.9.3-1
qt5-gamepad 5.9.3-1
qt5-graphicaleffects 5.9.3-1
qt5-imageformats 5.9.3-1
qt5-location 5.9.3-1
qt5-multimedia 5.9.3-1
qt5-networkauth 5.9.3-1
qt5-quickcontrols 5.9.3-1
qt5-quickcontrols2 5.9.3-1
qt5-remoteobjects 5.9.3-1
qt5-script 5.9.3-1
qt5-scxml 5.9.3-1
qt5-sensors 5.9.3-1
qt5-serialbus 5.9.3-1
qt5-serialport 5.9.3-1
qt5-speech 5.9.3-1
qt5-styleplugins-git r36.1489224182.335dbec-1
qt5-svg 5.9.3-1
qt5-tools 5.9.3-1
qt5-translations 5.9.3-1
qt5-virtualkeyboard 5.9.3-1
qt5-wayland 5.9.3-1
qt5-webchannel 5.9.3-1
qt5-webengine 5.9.3-1
qt5-webkit 5.9.0-1
qt5-websockets 5.9.3-1
qt5-webview 5.9.3-1
qt5-x11extras 5.9.3-1
qt5-xcb-private-headers 5.9.3-1
qt5-xmlpatterns 5.9.3-1
qt5ct 0.34-1
qtalarm 4700238.2.0.1-1
qtcreator 4.4.1-1
qterminal 0.8.0-1
qtermwidget 0.8.0-1
qtile-git 2752.dc7c43a8-1
qtkeychain 0.8.0-2
qtodotxt 1.9.0-1
qtpass 1.2.0-1
qtshutdownmenu-git r4.314f35e-1
quickswitch-i3 2.7.0-2
r 3.4.3-1
rainbowstream 1.3.3-1
randrproto 1.5.0-1
ranger 1.8.1-1
raptor 2.0.15-7
rasqal 1:0.9.33-1
readline 7.0.003-1
recode 3.6-10
recordmydesktop 0.3.8.1-7
recordproto 1.14.2-2
redland 1:1.0.17-4
redshift 1.11-4
refind-efi 0.11.2-1
reiserfsprogs 3.6.27-1
rememberthemilk 1.1.8-1
remind 3.1.15-2
renderproto 0.11.1-3
rest 0.8.1-1
retext 7.0.1-1
rhash 1.3.5-2
ripgrep 0.7.1-1
ristretto 0.8.2-1
rmlint 2.6.1-1
rocs 17.08.3-1
rofi-file_browser-git r7.c7dfb01-1
rofi-git 1.4.2.r88.g9cd1e3fa-1
rofi-surfraw-git 75.e39dbff-1
rofi-top-git r23.9416add-1
rootmenu 0.8-1
roxterm 3.3.2-2
rp-pppoe 3.12-1
rpcbind 0.2.4-3
rpmextract 1.0-7
rsync 3.1.2-8
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
rubberband 1.8.1-3
ruby 2.4.2-1
ruby-atk 3.2.1-1
ruby-cairo 1.15.10-1
ruby-cairo-gobject 3.2.1-1
ruby-colorize 0.8.1-4
ruby-diff-lcs 1.3-1
ruby-gdk_pixbuf2 3.2.1-1
ruby-gio2 3.2.1-1
ruby-glib2 3.2.1-1
ruby-gobject-introspection 3.2.1-1
ruby-gtk2 3.2.1-1
ruby-native-package-installer 1.0.5-1
ruby-paint 2.0.1-1
ruby-pango 3.2.1-1
ruby-pkg-config 1.2.8-1
ruby-rainbow 2.2.2-1
ruby-rspec 3.7.0-1
ruby-rspec-core 3.7.0-1
ruby-rspec-expectations 3.7.0-1
ruby-rspec-mocks 3.7.0-1
ruby-rspec-support 3.7.0-1
ruby-term-ansicolor 1.4.0-2
ruby-tins 1.13.0-2
ruby-trollop 2.1.2-4
run-parts 4.8.1-1
rust 1:1.21.0-2
rxvt-unicode 9.22-5
rxvt-unicode-terminfo 9.22-5
s-nail 14.9.5-1
sakura 3.3.4-2
samba 4.7.3-1
sane 1.0.27-1
sardi-icons 9.3-7
sbc 1.3-1
schroedinger 1.0.11-3
screen 4.6.2-1
screenfetch 3.8.0.r45.ga0bffe0-1
scrnsaverproto 1.2.2-2
scrot 0.8.17-2
sdcv 0.5.2-1
sddm 0.16.0-1
sddm-kcm 5.11.4-1
sddm-maia-theme 1.2-1
sddm-menda-theme 20150304-2
sdl 1.2.15-9
sdl2 2.0.7-1
sdl2_gfx 1:1.0.3-1
sdl2_image 2.0.1-2
sdl2_mixer 2.0.2-2
sdl2_ttf 2.0.14-1
sdl_gfx 2.0.26-1
sdl_image 1.2.12-4
sdl_mixer 1.2.12-5
sdl_net 1.2.8-3
sdl_sound 1.0.3-6
sdl_ttf 2.0.11-4
sdparm 1.10-1
sed 4.4-1
semver 5.4.1-1
serd 0.22.0-1
serf 1.3.9-2
setcapslock 0.0.3-1
sg3_utils 1.42-1
shadow 4.5-2
shairplay 20160101.ce80e00-1
shake 1.0-1
shared-mime-info 1.9-1
shc 3.9.6-1
shedskin 0.9.4-2
shiboken 1.2.4-3
sidplay2-libs 2.1.1-1
signon-kwallet-extension 17.08.3-1
signon-plugin-oauth2 0.24-1
signon-ui 0.17+20150611-1
signond 8.59-1
siji-git r22.2546822-1
simple-scan-3.12 3.12.0-1
simplenote-electron-bin 1.1.0-1
simplescreenrecorder-git 0.3.8.r114.g4343482-1
sip 4.19.6-1
skippy-xd 2015.12.21.r0.gd0a11f4-1
skypeforlinux-bin 8.12.76.7-1
sl 5.02-4
slang 2.3.1a-1
smartmontools 6.6-1
smb4k 2.0.2-1
smbclient 4.7.3-1
smem 1.4-1
smpeg 0.4.5-3
smplayer 17.11.2-1
snappy 1.1.7-1
snaptile-git r29.88e5928-1
sncli-git 0.1.4.r22.gbd3c013-1
sndio 20161106-1
sni-qt 0.2.6-4
socat 1.7.3.2-2
solid 5.40.0-1
sonnet 5.40.0-1
sopcast 3.2.6-1
sord 0.14.0-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
source-highlight 3.1.8-13
sox 14.4.2-2
spacefm-ng 1.0.6-1
spandsp 0.0.6-1
spectacle 17.08.3-1
spectrwm 3.1.0-1
speech-dispatcher 0.8.8-1
speedcrunch 0.12.0-1
speedometer 2.8-3
speedtest-cli 1.0.7-1
speex 1.2.0-1
speexdsp 1.2rc3-2
splix 2.0.0-13
spotify 1.0.67.582-1
sqlcipher 3.4.1-2
sqlite 3.21.0-1
squashfs-tools 4.3-4
sratom 0.4.6-1
sshfs 3.3.1-1
st-manjaro 1:0.7.r38.g0ac685f-1
stalonetray 0.8.3-1
stardict 3.0.6-3
startup-notification 0.12-5
steam-manjaro 1.0.0.54-9
stellarium 0.16.1-1
step 17.08.3-1
sterminal 0.4-1
stfl 0.24-2
stlarch_font 1.5-1
sublime-text-dev 3.3153-1
subversion 1.9.7-3
sudo 1.8.21.p2-1
suil 0.8.2-2
sunflower 0.3.61-1
surfraw 2.2.9-1
sway 0.15.0-1
swh-plugins 0.4.15-6
sxhkd 0.5.8-1
syntax-highlighting 5.40.0-1
sysfsutils 2.1.0-9
syslinux 6.03-7
sysstat 11.4.6-1
system-config-printer 1.5.9-3
system-config-samba 1.2.100-1
systemd 235.38-2
systemd-sysvcompat 235.38-2
systemdgenie 0.99.0-1
systemsettings 5.11.4-1
t1lib 5.1.2-6
taglib 1.11.1-1
talkfilters 2.3.8-4
talloc 2.1.10-1
tar 1.29-2
tcl 8.6.7-1
tcllib 1.18-1
tdb 1.3.15-1
tdrop-git 0.1.r128.gbf97b17-1
tea 44.1.0-1
temps 0.7.0-1
terminator-bzr 1.0.r1776-1
terminology 1.1.1-1
terminus-font 4.46-1.1
termite 12-2
termite-terminfo 12-2
ternimal-git r5.2eea4f4-2
testdisk 7.0-4
tevent 1:0.9.34-1
texinfo 6.5-1
texlive-bin 2017.44590-9
texlive-core 2017.45811-1
the_silver_searcher 2.1.0-1
thin-provisioning-tools 0.7.5-1
threadweaver 5.40.0-1
thunar 1.6.13-1
thunar-archive-plugin 0.3.1-7
thunar-media-tags-plugin 0.2.1-2
thunar-shares-plugin-manjaro 0.2.0.git-4
thunar-volman 0.8.1-2
thunderbird 52.5.0-1
tidy 5.4.0-2
tilda 1.3.3-4
tilix 1.7.1-2
timidity++ 2.14.0-7
tinyxml 2.6.2-6
tk 8.6.7-2
tldr-python-client 0.3-2
tlp 1.0-1
tmux 2.6-1
toilet 0.3.r155.3eb9d58-1
tolua++ 1.0.93-2
tomboy 1.15.7-1
tor-browser-en 7.0.10-1
traceroute 2.1.0-1
transset-df 6-5
trash-cli 0.17.1.14-2
trayer 1.0-8
tre 0.8.0-4
tree 1.7.0-2
trojita 0.7-2
truecrypt 1:7.1a-5
tslib 1.14-1
ttf-bitstream-vera 1.10-11
ttf-dejavu 2.37-1
ttf-dejavu-sans-mono-powerline 0.r78.97dc451-2
ttf-droid 20121017-5
ttf-emojione-color 1.3-5
ttf-font-icons 1.1-3
ttf-hack 3.000-1
ttf-inconsolata 20151221.480630d-2
ttf-indic-otf 0.2-8
ttf-ionicons 2.0.1-2
ttf-liberation 2.00.1-7
ttf-ms-fonts 2.0-10
ttf-oxygen 1:5.4.3-4
ttf-ubuntu-font-family 0.83-3
ttf-weather-icons 2.0.10-1
ttf-wps-fonts 1.0-3
ttygif 1.4.0-1
ttyrec 1.0.8-2
tumbler 0.2.0-1
turtl 0.6.4-2
twolame 0.3.13-7
typora 0.9.38-1
tzdata 2017c-1
uchardet 0.0.6-1
ucl 1.03-7
udisks2 2.7.4-1
ufw 0.35-3
ulauncher-git 3.2.1.r0.r1.ge1a608c-1
umbrello 17.08.3-2
unagi 0.3.4-1
unarj 2.63a-4
unibilium 1.2.1-1
unicode-emoji 5.0-2
unified-remote-server 3.6.0.745-3
unixodbc 2.3.4-2
unrar 1:5.5.8-1
unzip 6.0-12
update-notifier 0.6.5-1
upower 0.99.6-1
upx 3.94-1
urxvt-perls 2.2-1
usb_modeswitch 2.5.1-1.1
usbmuxd 1.1.0+28+g46bdf3e-1
usbutils 009-1
user-manager 5.11.4-1
util-linux 2.31-2
v4l-utils 1.12.5-1
v86d 0.1.10-5
vala 0.38.3-1
vamp-plugin-sdk 2.6-1
variety 0.6.6-1
vcdimager 0.7.24-7
vde2 2.3.2-10
veracrypt 1.21-2
vertex-themes 20171114-1
vid.stab 1.1-1
videoproto 2.3.3-1
viewnior 1.6-3
vim-a 2.18-8
vim-airline 0.8-5
vim-airline-themes r1230.793ce66-1
vim-align 37.43-3
vim-bufexplorer 7.4.12-1
vim-colorsamplerpack 2012.10.28-4
vim-ctrlp 1.80-1
vim-doxygentoolkit 0.2.13-3
vim-fugitive 2.2-2
vim-guicolorscheme 1.2-4
vim-indent-object 1.1.2-5
vim-jad 1.3_1329-1
vim-jedi 0.8.0-3
vim-jellybeans 1.6-1
vim-latexsuite 1:1.9.0-2
vim-minibufexpl 6.5.2-1
vim-misc-xolox 1.17.6-1
vim-molokai 1.1-5
vim-nerdcommenter 2.5.1-1
vim-nerdtree 5.0.0-2
vim-notes 0.33.4-2
vim-omnicppcomplete 0.4.1-8
vim-pastie 2.0-8
vim-project 1.4.1-8
vim-rails 5.2_23266-4
vim-runtime 8.0.1297-1
vim-seti 1.0-2
vim-supertab 2.1-2
vim-surround 2.1-2
vim-syntastic 3.8.0-2
vim-tagbar 2.7-1
vim-taglist 46-3
vim-ultisnips 3.1-3
vim-vcscommand 1.99.47-2
vim-workspace 1.0b1-8
virtualbox 5.2.2-2
virtualbox-guest-iso 5.2.2-1
virtualbox-host-dkms 5.2.2-2
virtualbox-sdk 5.2.2-2
visual-grep 0.30-1
visual-studio-code 1.18.1-1
vivaldi 1.13.1008.34-1
vivaldi-ffmpeg-codecs 62.0.3202.89-1
vivaldi-snapshot 1.14.1030.3-1
vivaldi-snapshot-ffmpeg-codecs 62.0.3202.89-1
vlc-nightly 3.0.0v20171111-1
vokoscreen 2.5.7.beta-1
volume_key 0.3.9-4
volumeicon 0.5.1-1
vorbis-tools 1.4.0-6
vpnc 0.5.3.svn550-2
vte 0.28.2-8
vte-common 0.50.2-1
vte3-ng 0.50.2.a-1
vulkan-icd-loader 1.0.61.1-1
vulkan-intel 17.2.6-0
vundle-git 0.10.2.623.6437ad6-1
w3m 0.5.3.git20171120-1
wallepy 0.05-1
warzone2100 3.2.3-2
watchdog 5.15-1
waterfox-bin 56.0-2
wavemon 0.8.1-1
wavpack 5.1.0-1
wayland 1.14.0-1
wayland-protocols 1.11-1
wcslib 5.17-1
webkit2gtk 2.18.3-2
webkitgtk 2.4.11-6
webkitgtk2 2.4.11-6
webrtc-audio-processing 0.3-2
weston 3.0.0-2
wget 1.19.2-1
which 2.21-2
wildmidi 0.4.1-1
windscribe-cli 1.0-4
wine 2.22-1
wireless-regdb 2017.03.07-1
wireless_tools 30.pre9-1
wlc 0.0.11-1
wm-switcher-git r14.1be6734-1
wmctrl 1.07-4
wmname 0.1-3
wmtime 1.0b2-4
wmutils 1.2.r2.g9372688-1
worker 3.13.0-1
wpa_supplicant 1:2.6-11
wps-office 10.1.0.5707_a21-2
wps-office-extension-english-uk-dictionary 20140307-2
wv 1.2.9-4
wxgtk-common 3.0.3.1-9
wxgtk2 3.0.3.1-9
wxgtk3 3.0.3.1-9
wxpython 3.0.2.0-3
wxsqlite3 3.5.8-1
x-tile 2.5.1-1
x265 2.5-1
x2goclient 4.1.1.0-1
xapian-core 1:1.4.4-1
xapps 1.0.4-1
xautomation 1.09-2
xbindkeys 1.8.6-2
xbindkeys_config-gtk2 0.1.3-4
xbitmaps 1.1.1-3
xcape 1.2-2
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xclip 0.13-1
xcompmgr 1.1.7-2
xcowsay 1.4-1
xcursor-breeze 1.0-2
xcursor-simpleandsoft 0.2-7
xcursor-vanilla-dmz-aa 0.4.4-1
xdg-desktop-portal 0.9-1
xdg-desktop-portal-gtk 0.9-1
xdg-su 1.2.3-1
xdg-user-dirs 0.16-1
xdg-utils 1.1.2-1
xdgmenumaker 1.1-1
xdiskusage 1.51-2
xdo 0.5.7-1
xdotool 3.20160805.1-1
xed 1.6.2-1
xextproto 7.3.0-1
xf86-input-elographics 1.4.1-7
xf86-input-evdev 2.10.5-1
xf86-input-keyboard 1.9.0-2
xf86-input-libinput 0.26.0-1
xf86-input-mouse 1.9.2-3
xf86-input-mtrack-git 20150727.c1301b0-2
xf86-input-synaptics 1.9.0-1
xf86-input-void 1.4.1-3
xf86dgaproto 2.1-3
xf86miscproto 0.9.3-1
xf86vidmodeproto 2.3.1-3
xfburn 0.5.4-3
xfce-theme-manager 0.3.7-2
xfce4-appfinder 4.12.0-4
xfce4-artwork 0.1.1a_git20110420-4
xfce4-battery-plugin 1.1.0-1
xfce4-clipman-plugin 1.4.2-2
xfce4-cpufreq-plugin 1.1.3-1
xfce4-cpugraph-plugin 1.0.5-4
xfce4-datetime-plugin 0.7.0-1
xfce4-dict 0.8.0-1
xfce4-diskperf-plugin 2.6.1-1
xfce4-dockbarx-plugin 0.5-1
xfce4-eyes-plugin 4.5.0-1
xfce4-fsguard-plugin 1.1.0-1
xfce4-genmon-plugin 4.0.1-1
xfce4-hotcorner-plugin 0.0.2-2
xfce4-mailwatch-plugin 1.2.0-7
xfce4-mount-plugin 1.1.2-1
xfce4-mpc-plugin 0.5.0-1
xfce4-netload-plugin 1.3.1-1
xfce4-notes-plugin 1.8.1-2
xfce4-notifyd 0.4.0-2
xfce4-panel 4.12.1-1
xfce4-power-manager 1.6.0.41.g9daecb5-1
xfce4-pulseaudio-plugin 0.3.2.r13.g553691a-1
xfce4-screenshooter 1.9.1-1
xfce4-sensors-plugin 1.2.6-3
xfce4-session 4.12.1-7.1
xfce4-settings 4.12.1-1
xfce4-smartbookmark-plugin 0.5.0-1
xfce4-systemload-plugin 1.2.1-1
xfce4-taskmanager 1.2.0-1
xfce4-terminal 0.8.6-1
xfce4-time-out-plugin 1.0.2-2
xfce4-timer-plugin 1.6.0-4
xfce4-verve-plugin 1.1.0-1
xfce4-wavelan-plugin 0.6.0-1
xfce4-weather-plugin 0.8.10-1
xfce4-whiskermenu-plugin 1.7.4-1
xfce4-windowck-plugin 0.4.4-1
xfce4-xkb-plugin 0.8.1-1
xfconf 4.12.1-4
xfdashboard 0.7.4-1
xfdesktop 4.12.4-1
xfpanel-switch 1.0.4-2
xfsprogs 4.13.1-1
xfwm4 4.12.4-1
xfwm4-themes 4.10.0-2
xineramaproto 1.2.1-3
xkeyboard-config 2.22-1
xmacro 0.4.6-2
xmlsec 1.2.25-1
xmms2 0.8DrO_o.949.gca15e830-5
xnviewmp-system-libs 0.88-1
xorg-appres 1.0.4-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-100dpi 1.0.3-3
xorg-fonts-75dpi 1.0.3-3
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-5
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.2-1
xorg-server 1.19.5-1
xorg-server-common 1.19.5-1
xorg-server-xwayland 1.19.5-1
xorg-setxkbmap 1.3.1-1
xorg-twm 1.0.9-1
xorg-utils 7.6-9
xorg-xauth 1.0.10-1
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.5-2
xorg-xev 1.2.2-1
xorg-xfd 1.1.2-1
xorg-xfontsel 1.0.5-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.4.0-1
xorg-xkill 1.0.4-1
xorg-xlsatoms 1.1.2-1
xorg-xlsclients 1.1.3-1
xorg-xmessage 1.0.4-2
xorg-xmodmap 1.0.9-1
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xorg-xvinfo 1.1.3-1
xorg-xwd 1.0.6-1
xorg-xwininfo 1.1.3-1
xplayer 1.6.0-1
xplayer-plparser 1.0.2-1
xproto 7.0.31-1
xreader 1.6.1-1
xsane 0.999-1
xscreensaver 5.37-1
xsel 1.2.0.20160929-1
xsensors 0.70-5
xterm 330-1
xtitle 20170206-1
xvidcore 1.3.4-1
xviewer 1.6.0-1
xviewer-plugins 1.2.0.r0.g2fdf842-1
xz 5.2.3-1
xzoom 0.3-5
yabar-git 0.4.0.r162.g813b87b-1
yad 0.39.0-1
yajl 2.1.0-1
yakuake 3.0.4-1
yamagi-quake2 7.02-1
yamagi-quake2-rogue 2.04-3
yamagi-quake2-xatrix 2.05-2
yank 0.8.3-1
yaourt 1.9-1
yapf 0.20.0-1
yarn 1.3.2-1
yeahconsole 0.3.4-2
yeahlaunch 0.2-2
yelp-xsl 3.20.1-2
youtube-dl 2017.11.26-1
zd1211-firmware 1.5-1
zenity 3.26.0-1
zeromq 4.2.2-2
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1:1.2.11-2
zramswap 1.1-1
zsh 5.4.2-1
zvbi 0.2.35-1
zziplib 0.13.67-1
